Yapılacak şey;Şehir;Yer Adı;Açıklama (TR);Description (EN);
Türkçe’den çevirsin.;Barcelona;Vanta Coffee;Eixample'da specialty coffee durağı. Espresso, filter ve cold brew seçenekleri. Laptop-friendly, köpek dostu ve çocuk dostu ortam.;One of the popular spots in Barcelona. Rated 5 with 452 reviews, it has won the appreciation of visitors.;
Türkçe’den çevirsin.;Barcelona;Garage Coffee;Endüstriyel tasarım ve sıcak ahşap dokunuşlarıyla Les Corts'ta brunch mekanı. Yulaf sütlü flat white ve Mallorquín sandviçiyle popüler.;One of the popular spots in Barcelona. Rated 4.9 with 1613 reviews, it has won the appreciation of visitors.;
Türkçe’den çevirsin.;Barcelona;ONIS COFFEE;Eski bir ayakkabı dükkanında vintage atmosfer. Three Marks Coffee çekirdekleri, matcha latte ve Origo Bakery kruvasanlarıyla tanınıyor.;One of the popular spots in Barcelona. Rated 4.8 with 755 reviews, it has won the appreciation of visitors.;
Türkçe’den çevirsin.;Barcelona;Noor | Specialty Coffee;Fıstık latte, blueberry matcha ve yaratıcı specialty içecekleriyle öne çıkan trendy kahveci. Ev yapımı kurabiyeler ve matcha blondie mutlaka denmeli.;One of the popular spots in Barcelona. Rated 4.8 with 355 reviews, it has won the appreciation of visitors.;
Türkçe’den çevirsin.;Barcelona;Maison coffee;Fransız bistro tarzı ve specialty kahve buluşması. Madeleines, éclair ve café crème ile Paris'in küçük bir köşesi Barcelona'da.;One of the popular spots in Barcelona. Rated 4.8 with 616 reviews, it has won the appreciation of visitors.;
Türkçe’den çevirsin.;Barcelona;Lilly Bakery;Fransız fırın geleneği ve modern dokunuşlar. Tereyağlı kruvasanlar, pain au chocolat ve mevsimlik quiche çeşitleriyle sabah enerjisi.;One of the popular spots in Barcelona. Rated 5 with 292 reviews, it has won the appreciation of visitors.;
Türkçe’den çevirsin.;Barcelona;OTTO Specialty Coffee;Horta-Guinardó'da sakin bir mahalle kahvecisi. Tek kökenli specialty kahveler ve artisan kavurma anlayışıyla yerel halkın gözdesi.;One of the popular spots in Barcelona. Rated 4.9 with 168 reviews, it has won the appreciation of visitors.;
Türkçe’den çevirsin.;Barcelona;Ripa Coffee - Eixample;İtalyan espresso geleneği Barcelona'da. Yoğun crema, mükemmel sıcaklık ve yanında biscotti. Hızlı ama kaliteli kahve molası arayanlar için.;One of the popular spots in Barcelona. Rated 4.9 with 2123 reviews, it has won the appreciation of visitors.;
Türkçe’den çevirsin.;Barcelona;Gelateria Da Gallo;İtalyan usulü artisan dondurma. Günlük üretim, doğal malzemeler ve yoğun aromalar. Fıstık, stracciatella ve mevsimlik meyve çeşitleriyle serinleme molası.;One of the popular spots in Barcelona. Rated 4.9 with 6232 reviews, it has won the appreciation of visitors.;
Türkçe’den çevirsin.;Barcelona;XILOTECA COFFEE + BOTIGA;Kahve ve yerel ürünler dükkânı. Specialty kahve yanında Katalan zeytin yağları, şaraplar ve gurme ürünler. Kahve molası + hediyelik alışverişi bir arada.;One of the popular spots in Barcelona. Rated 4.9 with 675 reviews, it has won the appreciation of visitors.;
Türkçe’den çevirsin.;Barcelona;Obrador del Croissant;Kruasan ustası! Tereyağlı klasik, bitter çikolatalı ve fıstıklı kruasanlar. Sabah kahvesiyle eşleştirilmeli. Eixample'ın en çıtır tercihlerinden.;One of the popular spots in Barcelona. Rated 4.9 with 507 reviews, it has won the appreciation of visitors.;
Türkçe’den çevirsin.;Barcelona;JUST Specialty Coffee;Minimalist tasarım ve odak noktası kahve olan butik mekan. Single origin espresso, pour-over ve cold brew seçenekleriyle kahve meraklılarına hitap ediyor.;One of the popular spots in Barcelona. Rated 4.9 with 212 reviews, it has won the appreciation of visitors.;
Türkçe’den çevirsin.;Barcelona;PUFF Sandwich | Authentic Ingredients | Coffee | Organic Matcha;Organik matcha ve gurme sandviçlerin buluşması. Doğal malzemeler, ev yapımı ekmek ve kişiye özel sandviç kombinasyonlarıyla sağlıklı öğle molası.;One of the popular spots in Barcelona. Rated 5 with 1660 reviews, it has won the appreciation of visitors.;
Türkçe’den çevirsin.;Barcelona;Sagra Specialty Coffee & Brunch;Sagrada Familia'ya yakın gizli bir cevher. V60, cold brew, avokadolu tost ve blueberry cheesecake ile kahve tutkunlarının gözdesi.;One of the popular spots in Barcelona. Rated 4.9 with 395 reviews, it has won the appreciation of visitors.;
Türkçe’den çevirsin.;Barcelona;Merle Coffee;Sakin ve minimalist ortamda specialty kahve keyfi. V60 pour-over, Chemex ve espresso seçenekleri. Uzaktan çalışanlar için ideal WiFi mekanı.;One of the popular spots in Barcelona. Rated 4.8 with 472 reviews, it has won the appreciation of visitors.;
Türkçe’den çevirsin.;Barcelona;Tartas en Barcelona - LORENA BAKERY (Click&collect) (Servicio domicilio);Sipariş üzerine butik pastalar. Online sipariş ve teslimat. Doğum günü, düğün ve özel etkinlikler için kişiselleştirilmiş tatlı tasarımlar.;One of the popular spots in Barcelona. Rated 4.9 with 256 reviews, it has won the appreciation of visitors.;
Türkçe’den çevirsin.;Barcelona;Sweet n' Ice Gelateria a Barcelona;Yerel kültürü keşfetmek ve otantik anılar biriktirmek için kaçırılmaması gereken bir deneyim.;One of the popular spots in Barcelona. Rated 5 with 499 reviews, it has won the appreciation of visitors.;
Türkçe’den çevirsin.;Londra;Simmons Bar;90'lar disko müzikleri, çaydanlıkta servis edilen kokteylleri ve bitmeyen Happy Hour'ları ile ünlü, eğlenceli ve kitsch bir parti mekanı.;Londra içindeki popüler mekanlardan biri. 4.7 puan ve 5240 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Barcelona;Kafenion Barcelona;Yunan ilhamli kafe konsepti. Elliniko kahve, baklava ve spanakopita ile Akdeniz esintisi. Sıcak misafirperverlik ve otantik lezzetler.;One of the popular spots in Barcelona. Rated 4.9 with 1828 reviews, it has won the appreciation of visitors.;
Türkçe’den çevirsin.;Barcelona;MALA HIERBA | Cocktail Bar;Zengin koleksiyonu ve interaktif sergileriyle kültür ve sanat meraklılarının mutlaka görmesi gereken bir müze.;One of the popular spots in Barcelona. Rated 4.9 with 385 reviews, it has won the appreciation of visitors.;
Türkçe’den çevirsin.;Paris;Shukery coffee & matcha;Özel kahve çeşitleri ve ev yapımı lezzetleriyle tanınan, rahat atmosferi ile dikkat çeken bir kafe.;Paris içindeki popüler mekanlardan biri. 4.8 puan ve 804 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Paris;CASA CAFE;"Paris'te Brezilya esintileri. Brezilya peynirli ekmeği ""pão de queijo"" ve artizan çikolatalarıyla farklı bir deneyim.";Paris içindeki popüler mekanlardan biri. 4.9 puan ve 236 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Paris;L'Amiral;Paris'te klasik bir mola noktası. Günün her saati atıştırmalıklar ve sıcak yemekler bulabileceğiniz samimi bir brasserie.;Paris içindeki popüler mekanlardan biri. 4.8 puan ve 160 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Paris;Amorino;Otantik mutfağıyla tanınan, yerel halkın ve gezginlerin uğrak noktası olan bir restoran.;Paris içindeki popüler mekanlardan biri. 4.8 puan ve 1293 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Budapeşte;9BAR;Farklı farklı eski nesneler, hurda bir Trabant araba, müzik, yemek, pazar ve bahçenin bulunduğu dev pub.;Budapeşte içindeki popüler mekanlardan biri. 4.8 puan ve 2363 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;Bottega Alimentare Portamivia;İtalyan şarküteri ve bistro konsepti. Yüksek kaliteli İtalyan ürünleri, taze makarnalar ve uygun fiyatlı şaraplarıyla gerçek bir 'dolce vita' deneyimi.;Berlin içindeki popüler mekanlardan biri. 4.9 puan ve 106 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;Ciuk - Winebar & Tapas;Keyifli bir şarap ve tapas barı. Geniş şarap kavı ve yanında eşlik eden lezzetli atıştırmalıklarla akşam sohbetleri için ideal.;Berlin içindeki popüler mekanlardan biri. 4.9 puan ve 77 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;BARRED;Kreuzberg'de ev sıcaklığında bir kokteyl barı. 'Living room' atmosferinde, özenle hazırlanan craft kokteyller (Espresso Martini favori).;Berlin içindeki popüler mekanlardan biri. 4.9 puan ve 62 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;8000 Vintages;Kreuzberg'de Gürcü şarap kültürünü yaşatan mekan. Toprak küplerde (Kvevri) üretilen kehribar şaraplar ve cevizli patlıcan gibi otantik Gürcü mezeleri.;Berlin içindeki popüler mekanlardan biri. 4.8 puan ve 279 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;Bar Steinkeller (Steinritze20);Mitte'de gizli bir mücevher. Loş ve hygge atmosferinde, 'Rum Sour' gibi imza kokteyllerin tadını çıkarabileceğiniz otantik bir bar.;Berlin içindeki popüler mekanlardan biri. 4.9 puan ve 314 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;Jane & the Jam;Mitte'de şarap, lezzet ve eğlence. Özenle seçilmiş şaraplar, peynir tabakları ve hediyelik eşyalarla dolu, 'Instagramlık' ve sanatsal bir mekan.;Berlin içindeki popüler mekanlardan biri. 4.8 puan ve 102 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;GLASWEISE Weinbar;Mitte'de sofistike bir şarap barı. Özellikle İtalyan şaraplarına odaklanan geniş kavı ve şaraba eşlik eden gurme atıştırmalıklarıyla (zeytin, jambon) keyifli bir akşam.;Berlin içindeki popüler mekanlardan biri. 4.8 puan ve 350 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;Bar Dell;Samimi ve sıcak bir atmosfere sahip mahalle barı. Özenle hazırlanan kokteylleri ve dostane servisiyle akşamüzeri içkisi için ideal.;Berlin içindeki popüler mekanlardan biri. 4.9 puan ve 112 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;Champagner Bar;Şampanya tutkunları için özel bir adres. Farklı şampanya çeşitleri ve yanında sunulan gurme atıştırmalıklarla lüks ve keyifli bir deneyim.;Berlin içindeki popüler mekanlardan biri. 4.8 puan ve 228 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;GEM Bar;Schöneberg'de lüks ve eğlence bir arada. Altın detaylı dekorasyonu, yaratıcı kokteylleri ve enerji dolu Karaoke geceleriyle parlayan bir mekan.;Berlin içindeki popüler mekanlardan biri. 4.8 puan ve 283 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;COCKTAILBAR Green Tree;Taze meyvelerle hazırlanan lezzetli kokteyller. Yeşil bitkilerle süslü, rahat ve samimi bir ortamda keyifli bir akşam.;Berlin içindeki popüler mekanlardan biri. 4.9 puan ve 437 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;Kírkē;Yunan mutfağına modern ve 'deli' dokunuşu. Manda pastırmalı sandviçler, tütsülenmiş midye ve doğal şaraplarla klişelerden uzak bir deneyim.;Berlin içindeki popüler mekanlardan biri. 5 puan ve 122 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Tokyo;The Coffee Counter Tokyo;Özel kahve çeşitleri ve ev yapımı lezzetleriyle tanınan, rahat atmosferi ile dikkat çeken bir kafe.;Tokyo içindeki popüler mekanlardan biri. 4.9 puan ve 504 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;CoooL Music Bar;Disko gürültüsü olmadan bar enerjisi arayanlar için. R'n'B ve Hip-Hop klasikleri eşliğinde yaratıcı kokteyller ve dostane bir atmosfer.;Berlin içindeki popüler mekanlardan biri. 4.9 puan ve 135 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;Alirezas Patisserie;Fransız pastacılığının Pers lezzetleriyle buluşması. Safranlı, güllü ve fıstıklı 'törtchen'ler ve el yapımı kruvasanlar.;Berlin içindeki popüler mekanlardan biri. 5 puan ve 114 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;Coffee Karros;Friedrichshain'da sürdürülebilirlik odaklı bir kafe. Cortégas marka özel çekirdekleri, vegan kahvaltı seçenekleri ve Pastel de Nata gibi tatlı eşlikçileriyle popüler.;Berlin içindeki popüler mekanlardan biri. 4.8 puan ve 439 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;Café Modo;Fuggerstraße'de brunch keyfi. Avokado tostları, bagel çeşitleri ve sağlıklı smoothie'leriyle güne enerjik başlamak için popüler bir adres.;Berlin içindeki popüler mekanlardan biri. 4.8 puan ve 506 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;Garçon de Café - Specialty coffee shop - Kaffee;Hauptbahnhof yakınında, kökleri kahve kamyonetlerine dayanan bir başarı hikayesi. Latte Art ile süslü kahveler ve taze Fransız kruvasanları.;Berlin içindeki popüler mekanlardan biri. 4.8 puan ve 429 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;Espressomania Coffee Roastery;Kastanienallee'de İtalyan cazibesi. Kendi kavurdukları çekirdeklerle hazırladıkları mükemmel espressolar ve yanında pastrami panini veya kayısılı cornetto.;Berlin içindeki popüler mekanlardan biri. 4.9 puan ve 231 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;Chestnut Coffee;Kastanyeller (Chestnut) caddesinde, isminin hakkını veren bir kafe. Özellikle fıstıklı kruvasanı ve kaliteli baristasıyla Prenzlauer Berg'in sevilen noktası.;Berlin içindeki popüler mekanlardan biri. 4.9 puan ve 501 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;Green Wall Coffee;Lichtenberg'de yeşillikler içinde bir kahve molası. Aydınlık atmosferi, bitkilerle dolu dekorasyonu ve özenle kavrulmuş nitelikli kahveleri.;Berlin içindeki popüler mekanlardan biri. 4.9 puan ve 259 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Roma;L' Angolo Del Caffe'-Specialty coffee shop;Lido di Ostia'da specialty kahve tutkunlarının adresi. Yulaf sütlü cappuccinosu ve samimi ortamıyla kahve molası için ideal.;Roma içindeki popüler mekanlardan biri. 4.8 puan ve 143 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;LETA Patisserie;Nikolai Mahallesi'nde Fransız zarafeti. Earl Grey çaylı çilekli pasta ve el yapımı eklerler gibi zarif tatlılarıyla butik bir pastane.;Berlin içindeki popüler mekanlardan biri. 4.9 puan ve 54 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;Classic - Specialty Coffee;Nitelikli kahve tutkunları için huzurlu bir durak. Yumuşak içimli 'pour-over' kahveleri, büyük buz küpleriyle servis edilen buzlu latteleri ve samimi baristalarıyla biliniyor.;Berlin içindeki popüler mekanlardan biri. 4.9 puan ve 513 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;Pâtisserie Sarina (preorder online only);Özel kahve çeşitleri ve ev yapımı lezzetleriyle tanınan, rahat atmosferi ile dikkat çeken bir kafe.;Berlin içindeki popüler mekanlardan biri. 4.9 puan ve 92 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;The Coffee Club SPECIALTY COFFEE;Özel kahve çeşitleri ve ev yapımı lezzetleriyle tanınan, rahat atmosferi ile dikkat çeken bir kafe.;Berlin içindeki popüler mekanlardan biri. 5 puan ve 63 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Roma;Sensorio Coffee Lab;Piazza del Popolo yakınında specialty kahve laboratuvarı. Brunch menüsü, avokado tostları ve nitelikli kahve çekirdekleriyle modern bir deneyim.;Roma içindeki popüler mekanlardan biri. 4.8 puan ve 653 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;GioMecca Pastry;Prenzlauer Berg'de Torino esintisi. İtalyan şef Giorgio Mecca'nın elinden çıkan mini tatlılar (Petit Fours) ve fıstıklı, meyveli modern pastalar.;Berlin içindeki popüler mekanlardan biri. 4.8 puan ve 371 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;Bakery M. Biesewski;Prenzlauer Berg'in geleneksel Alman fırını. El yapımı 'Splitterbrötchen', taze 'Schrippen' ve nostaljik tatlarla güne başlamak için ideal.;Berlin içindeki popüler mekanlardan biri. 4.8 puan ve 491 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Roma;Artigiano Del Caffè;Roma'nın kalbinde gerçek bir espresso deneyimi. Yoğun aromalı kahveler ve yanında sunulan mini çikolatalarla İtalyan klasiği.;Roma içindeki popüler mekanlardan biri. 4.8 puan ve 1121 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Roma;D’Angelo Caffè & Gastronomia;Sabahları mis gibi kahve ve taze hamur işleriyle güne başlamak için ideal. Özellikle fıstıklı kruvasanları ve vegan seçenekleriyle öne çıkıyor.;Roma içindeki popüler mekanlardan biri. 4.7 puan ve 2719 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Roma;La Zeppola Roma;"San Giovanni'de artizan lezzet durağı. Adını aldığı meşhur zeppole tatlısı; krema, vişne veya fıstık dolgulu olarak sunuluyor.";Roma içindeki popüler mekanlardan biri. 4.7 puan ve 454 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Roma;Il Caffè Dei Falegnami;Şehir merkezinde, turist kalabalığından uzak sakin bir köşe. Taze kruvasanlar ve ustalıkla hazırlanmış espresso ile huzurlu bir mola.;Roma içindeki popüler mekanlardan biri. 4.8 puan ve 93 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Roma;Bar Amore di Zucca Fabio;Sıcak mizaçlı sahibi Fabio ve lezzetli kahveleriyle ünlü bir mahalle barı. Yerlilerin günlük ritüeline katılmak için mükemmel.;Roma içindeki popüler mekanlardan biri. 4.8 puan ve 985 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Roma;ca.BAR.et...coffee,food & drink;Spritz severlerin cenneti. 30'dan fazla spritz çeşidi ve samimi işletmecileriyle keyifli bir aperitivo mekanı.;Roma içindeki popüler mekanlardan biri. 5 puan ve 201 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Roma;La Pasticciera;Termini yakınında glutensiz (gluten-free) cenneti. Çölyak hastalarının güvenle tüketebileceği kruvasan, cannoli ve maritozzi çeşitleri.;Roma içindeki popüler mekanlardan biri. 4.8 puan ve 350 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Roma;Verso Italian Coffee Home;Yeşillikler içinde huzurlu bir kahve evi. Specialty kahveleri ve özellikle fıstıklı sıcak çikolatasıyla şehrin gürültüsünden kaçış noktası.;Roma içindeki popüler mekanlardan biri. 4.8 puan ve 350 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Roma;Pasticceria Sessa 1930 - Roma Termini;Termini'de bir Napoli esintisi. Sfogliatella, babà ve diğer Napoliten tatlılarıyla tren öncesi veya sonrası tatlı bir mola.;Roma içindeki popüler mekanlardan biri. 4.7 puan ve 498 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Roma;Parenti;"Vatikan yakınında tarihi bir pastane. Roma'nın meşhur ""Maritozzi"" tatlısını (kremalı çörek) en iyi yapan yerlerden biri.";Roma içindeki popüler mekanlardan biri. 4.7 puan ve 1067 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Roma;Poppies Coffee Bar;"Via Etruria'da kahvaltı için harika bir seçenek. Lezzetli omletleri, pankekleri ve sıcak atmosferiyle ""gizli mücevher"" olarak anılıyor.";Roma içindeki popüler mekanlardan biri. 4.9 puan ve 419 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Roma;Mus Caffe;Via Marianna Dionigi üzerinde şık bir kahve dükkanı. Özellikle fıstıklı kruvasanları ve kremamsı cappuccinosuyla meşhur.;Roma içindeki popüler mekanlardan biri. 4.9 puan ve 410 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;Flying Roasters;Wedding ve Kreuzberg'de kahve kavurma uzmanı. Adil ticaret (Direct Trade) ilkeleriyle temin edilen çekirdekler ve şeffaf üretim süreciyle gerçek bir kahve deneyimi.;Berlin içindeki popüler mekanlardan biri. 4.9 puan ve 550 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;Café Dreizehn;Wedding'de retro ve renkli bir kafe. Pastel de Nata, ev yapımı cheesecake ve taze kaseleriyle (bowls) hem göze hem damağa hitap ediyor.;Berlin içindeki popüler mekanlardan biri. 4.8 puan ve 216 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Brugge;De Halve Maan Brewery;Tarihi aile bira fabrikası, turu çok popüler. Sıradan bir gezinin ötesine geçip unutulmaz anılar biriktirmek isteyenler için benzersiz bir fırsat. Bu aktivite, seyahatinize heyecan ve renk katarak size farklı bir perspektif kazandıracak.;Tarihi aile bira fabrikası, turu çok popüler. A unique opportunity for those who want to go beyond an ordinary trip and collect unforgettable memories. This activity will add excitement and color to your travel, giving you a different perspective.;
Türkçe’den çevirsin.;Berlin;Kisa Berlin;Yerel kültürü keşfetmek ve otantik anılar biriktirmek için kaçırılmaması gereken bir deneyim.;Berlin içindeki popüler mekanlardan biri. 4.9 puan ve 98 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Budapeşte;CHIMNEY CAKE ZONE & CHURRÍA;Yerel kültürü keşfetmek ve otantik anılar biriktirmek için kaçırılmaması gereken bir deneyim.;Budapeşte içindeki popüler mekanlardan biri. 4.9 puan ve 1077 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;ArtBar F37 Berlin;Sanat galerisi ve şarap barının zarif birleşimi. Charlottenburg'da sanat eserleri arasında şampanya ve gurme atıştırmalıkların tadını çıkarın.;Berlin içindeki popüler mekanlardan biri. 4.9 puan ve 106 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Hong Kong;commaa ，coffee meets art and architecture;Zengin koleksiyonu ve interaktif sergileriyle kültür ve sanat meraklılarının mutlaka görmesi gereken bir müze.;Hong Kong içindeki popüler mekanlardan biri. 4.7 puan ve 117 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Paris;Liperli Coffee - Torréfacteur de café;Zengin koleksiyonu ve interaktif sergileriyle kültür ve sanat meraklılarının mutlaka görmesi gereken bir müze.;Paris içindeki popüler mekanlardan biri. 4.9 puan ve 506 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;Chill & Spice;Hindistan ve Singapur mutfaklarının baharatlı buluşması. Geleneksel körilerden modern Asya sokak lezzetlerine uzanan aromatik bir menü.;Berlin içindeki popüler mekanlardan biri. 5 puan ve 476 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;Bodega Iberica;İspanyol ve Katalan lezzetleri. Samimi bir ortamda sunulan zengin tapas tabakları, peynir çeşitleri ve İspanyol şarapları.;Berlin içindeki popüler mekanlardan biri. 4.8 puan ve 64 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;L'apéro Bar;Kreuzberg'de Fransız 'Apéro' geleneği. Paylaşımlık peynir ve şarküteri tabakları, Fransız şarapları ve akşamüzeri keyfi.;Berlin içindeki popüler mekanlardan biri. 5 puan ve 86 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;963;Levanten mutfağına modern ve 'üçüncü kültür' dokunuşu. Suriye ve Lübnan lezzetlerini 'Musakhan Popsicles' gibi yaratıcı formlarda sunan şık bir mekan.;Berlin içindeki popüler mekanlardan biri. 4.8 puan ve 639 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;LOUMI;Michelin rehberine girmiş, Fransız, İskandinav ve Japon etkileşimli fine dining. 8 krusluk sürpriz tadım menüsü (Carte Blanche) ve açık mutfak deneyimi.;Berlin içindeki popüler mekanlardan biri. 4.8 puan ve 172 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Roma;Caffè Antica Roma;Otantik mutfağıyla tanınan, yerel halkın ve gezginlerin uğrak noktası olan bir restoran.;Roma içindeki popüler mekanlardan biri. 4.8 puan ve 1797 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;Ewig Freunde;Prenzlauer Berg'in şık ve rahat kahvaltı mekanı. Doyurucu bagel sandviçleri, pancake'leri ve 'ebedi dostluk' hissi veren sıcak ortamı.;Berlin içindeki popüler mekanlardan biri. 4.8 puan ve 1210 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;Dopamine Bench (Singaporean and Indian Fusion Restaurant & Cocktail Bar);Singapur ve Hint mutfağının füzyon lezzetleri. Baharatlı ve aromatik tabakların, özel kokteyllerle buluştuğu modern ve şık bir restoran.;Berlin içindeki popüler mekanlardan biri. 4.9 puan ve 293 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;BLESS Restaurant;Şık ve detaylı dekorasyonuyla Asya füzyon mutfağı. Pandan yaprağında ördek ve yaratıcı kokteylleriyle modern bir akşam yemeği.;Berlin içindeki popüler mekanlardan biri. 4.7 puan ve 1938 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;Cafè Nook Berlin;Volkspark Friedrichshain karşısında ev sıcaklığında bir kafe. Harika kahvaltı tabakları, ev yapımı havuçlu kek ve samimi servisiyle mahallelinin gözdesi.;Berlin içindeki popüler mekanlardan biri. 4.8 puan ve 285 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Berlin;Bloom's Bar Berlin;Wilmersdorf'un şık kokteyl barı. Zarif ışıklandırması, geniş alanı ve 'Aperol Sour' gibi klasikleriyle hem özel kutlamalar hem de keyifli akşamlar için uygun.;Berlin içindeki popüler mekanlardan biri. 4.8 puan ve 133 yorum ile ziyaretçilerin beğenisini kazanmış.;
Türkçe’den çevirsin.;Oslo;Sauna at Langkaia (SALT);Kültür, sanat ve buhar. Norveç'in balık kurutma raflarından (fiskehjell) esinlenen devasa piramitlerin içinde, DJ performansları eşliğinde saunaya girip fiyort manzarasına karşı soğuk bir şeyler içebileceğiniz sıra dışı bir kompleks.;;
Türkçe’den çevirsin.;Oslo;Tronsmo Bokhandel;Alternatif kültürün kalesi. 1973'ten beri sansüre ve sıradanlığa meydan okuyan bu bağımsız kitapçı, zengin çizgi roman koleksiyonu, sanat kitapları, fanzinleri ve sol literatür arşiviyle Oslo'nun en entelektüel ve asi köşesi.;;
