Şehir,Yer Adı,Kategori,Açıklama (TR),Description (EN)
Brugge,Lumina Domestica,Müze,"Dünyanın en büyük lamba koleksiyonlarından birine ev sahipliği yapan, 6.000 antik lamba ve aydınlatma cihazı sergileyen ilginç müze. Meşale çağından elektriğe uzanan aydınlatma tarihinin büyüleyici yolculuğu.","An interesting museum housing one of the world's largest lamp collections, exhibiting 6,000 antique lamps and lighting devices. A fascinating journey through lighting history from the torch era to electricity."
Brugge,Magdalena Church,Tarihi,Yamazato adlı interaktif sanat enstalasyonuna ev sahipliği yapan sıradışı kilise.,Unusual church hosting interactive art installation named Yamazato.
Brugge,Maze of Loppem,Park,"1873 yılında tasarlanmış, Belçika'nın en eski ve büyük çit labirentlerinden biri. Loppem Şatosu'nun bahçesinde, çocuklar ve yetişkinler için eğlenceli macera deneyimi.","One of Belgium's oldest and largest hedge mazes, designed in 1873. A fun adventure experience for children and adults in the garden of Loppem Castle."
Brugge,Meebrug,Tarihi,"Brugge'ün en eski taş köprülerinden biri, dar kanalda ahşap evler ve tarihi binalar arasında konumlanan pittoresk yapı. Kalabalıktan uzak, otantik fotoğraf kareleri için mükemmel bir köşe.","One of Bruges' oldest stone bridges, a picturesque structure located among wooden houses and historic buildings on a narrow canal. A perfect corner for authentic photo frames, away from crowds."
Brugge,Minnewater Bridge,Manzara,Aşk Gölü üzerindeki ikonik köprü. Efsaneye göre burada öpüşenlerin aşkı sonsuz olur.,Iconic bridge over the Lake of Love. Legend says love becomes eternal for those who kiss here.
Brugge,Museum-Gallery Xpo Salvador Dali,Müze,"Belfry kulesinin içinde bulunan, Salvador Dali'nin eserlerinin sergilendiği galeri.",Gallery located inside Belfry tower exhibiting works of Salvador Dali.
Brugge,One Restaurant,Restoran,"Modern fine-dining konseptiyle, şık sunumlar ve yaratıcı lezzetler sunan üst düzey restoran. Özenli şarap eşleştirmeleri ve profesyonel servisiyle, özel kutlamalar için mükemmel.",An upscale restaurant offering stylish presentations and creative flavors with modern fine-dining concept. Perfect for special celebrations with careful wine pairings and professional service.
Brugge,Onze-Lieve-Vrouw-ter-Potterie,Tarihi,Zengin bir kilise hazinesine ve gümüş koleksiyonuna sahip tarihi hastane kompleksi.,Historic hospital complex with rich church treasury and silver collection.
Brugge,Oostkerke,Doğa,"Damme yakınlarında sakin ve pittoresk köy, tarihi kilisesi ve yeşil manzaralarıyla dikkat çekiyor. Bisiklet rotaları üzerinde mola noktası, otantik Flaman kırsal yaşamının örneği.","A quiet and picturesque village near Damme, notable for historic church and green landscapes. A rest point on bicycle routes, an example of authentic Flemish rural life."
Brugge,Otto Waffle Atelier,Kafe,"Dantel desenlerini yansıtan özel yulaf waffle'ları ve yaratıcı tatlı sunumlarıyla öne çıkan butik waffle dükkanı. Geleneksel Belçika waffle'ından farklı, hafif ve artistik bir alternatif arayanların durağı.",A boutique waffle shop standing out with special oat waffles reflecting lace patterns and creative dessert presentations. A stop for those seeking a light and artistic alternative different from traditional Belgian waffles.
Brugge,Oyya Waffles,Kafe,"Brüksel ve Liège waffle'larının en kaliteli versiyonlarını sunan butik waffle dükkanı. Çıtır dışı, yumuşak içi ve taze malzemeleriyle, gerçek Belçika waffle deneyimi.","A boutique waffle shop offering the best quality versions of Brussels and Liège waffles. A real Belgian waffle experience with crispy exterior, soft interior, and fresh ingredients."
Brugge,Park Restaurant,Restoran,"Minnewater parkına bakan, romantik konumu ve yaratıcı mutfağıyla dikkat çeken restoran. Gün batımında terasta yemek, şehrin en romantik deneyimlerinden biri.","A restaurant overlooking Minnewater park, notable for romantic location and creative cuisine. Dining on the terrace at sunset is one of the city's most romantic experiences."
Brugge,Park Sebrechts,Park,"Eski bir özel bahçeden kamusal parka dönüştürülmüş, merkeze yakın gizli yeşil vaha. Romantik havuzları, gölgeli patikları ve sakin atmosferiyle, kalabalık sokaklardan kaçış noktası.","A hidden green oasis near the center, converted from an old private garden to public park. An escape point from crowded streets with romantic pools, shaded paths, and quiet atmosphere."
Brugge,Peerdenbrug,Tarihi,"Meebrug'un hemen yanında, at heykelleriyle süslü zarif köprü. Yeşil sakinlikler ve tarihi binalarla çevrili bu nokta, kanal manzarası fotoğrafları için gizli bir mücevher.",An elegant bridge decorated with horse statues right next to Meebrug. This spot surrounded by green calm and historic buildings is a hidden gem for canal view photos.
Brugge,Permeke Museum,Müze,"Belçikalı ekspresyonist ressam Constant Permeke'nin eski stüdyosu ve evinde kurulan sanat müzesi. Sanatçının eserleri, kişisel eşyaları ve yaratıcı atmosferiyle, sanat tarihi ziyareti.","An art museum established in the former studio and home of Belgian expressionist painter Constant Permeke. An art history visit with artist's works, personal belongings, and creative atmosphere."
Brugge,Pomperlut,Restoran,"Tradisyonel Flaman yemeklerini ev yapımı atmosferde sunan, samimi aile restoranı. Anne eli lezzetleri, doyurucu porsiyonlar ve uygun fiyatlarıyla, yerel deneyim arayanlar için.","An intimate family restaurant serving traditional Flemish dishes in homemade atmosphere. For those seeking local experience with homestyle flavors, satisfying portions, and affordable prices."
Brugge,Poortersloge,Tarihi,"Ortaçağda zengin tüccarların buluşma yeri olan, gotik mimarisinin en güzel örneklerinden tarihi lonca binası. Cephesindeki heykeller ve işlemelerle, Brugge ticaret tarihinin simgesi.","A historic guild building, one of the finest examples of Gothic architecture, where wealthy merchants met in medieval times. A symbol of Bruges' trade history with sculptures and carvings on its facade."
Brugge,Potterierei,Manzara,"Eski çömlekçilerin yerleşim yeri olan tarihi mahalle, taş evleri ve dar sokakları ile ortaçağ atmosferini yaşatan bölge. Onze-Lieve-Vrouw ter Potterie kilisesi ve müzesiyle, keşfedilmeyi bekleyen bir hazine.","A historic neighborhood that was the settlement of old potters, an area keeping medieval atmosphere alive with stone houses and narrow streets. A treasure waiting to be discovered with Onze-Lieve-Vrouw ter Potterie church and museum."
Brugge,Pro Deo,Restoran,"Yerel ve mevsimlik malzemelere odaklanan, küçük ama nitelikli Michelin tavsiyeli restoran. Yaratıcı tabaklar, özenli servis ve samimi ortamıyla, gurmelerin durağı.","A small but quality Michelin-recommended restaurant focusing on local and seasonal ingredients. A stop for gourmets with creative dishes, careful service, and intimate setting."
Brugge,Provinciaal Hof,Tarihi,"Grote Markt meydanının kuzey tarafını kaplayan, Neo-Gotik tarzda görkemli idari bina. Cephesindeki detaylı işlemeler ve aydınlatılmış gece silueti ile şehrin en etkileyici yapılarından biri.",A magnificent administrative building in Neo-Gothic style covering the north side of Grote Markt square. One of the city's most impressive structures with detailed carvings on its facade and illuminated night silhouette.
Brugge,Reliva,Restoran,"Sağlıklı ve hafif öğünler sunan, vejetaryen ve vegan dostu modern kafe-restoran. Taze malzemeler, yaratıcı salatalar ve smoothie'lerle, bilinçli beslenenlerin durağı.","A modern cafe-restaurant serving healthy and light meals, vegetarian and vegan friendly. A stop for conscious eaters with fresh ingredients, creative salads, and smoothies."
Brugge,Ribs 'n Beer,Restoran,"Adından da anlaşılacağı gibi, kaburga ve bira kombinasyonu uzmanı Amerikan tarzı restoran. Doyurucu porsiyonlar, geniş bira seçkisi ve samimi atmosferiyle et severler için ideal.","As the name suggests, an American-style restaurant specializing in ribs and beer combination. Ideal for meat lovers with satisfying portions, wide beer selection, and friendly atmosphere."
Brugge,Rock Fort,Restoran,"İtalyan etkili, yaratıcı sunum ve yerel malzemelerle çalışan modern mutfak restoranı. Açık mutfağı, samimi ortamı ve lezzet odaklı yaklaşımıyla, şehrin sevilen adresleri arasında.","A modern cuisine restaurant with Italian influence, working with creative presentation and local ingredients. Among the city's beloved addresses with open kitchen, intimate setting, and flavor-focused approach."
Brugge,Rococo Lace,Alışveriş,"Çin malı olmayan, kaliteli Belçika danteli ve geleneksel el işlerini sunan güvenilir butik. Dantel tarihini öğrenmek ve orijinal hediyelik almak isteyenler için ideal adres.",A trustworthy boutique offering quality Belgian lace and traditional handicrafts that are not Chinese-made. An ideal address for those wanting to learn lace history and buy original souvenirs.
Brugge,Rozenhoedkaai,Manzara,"Brugge'ün en çok fotoğraflanan noktası olan Rozenhoedkaai, kanalların birleştiği büyüleyici bir manzaraya sahiptir. Özellikle gün batımında ve gece ışıklandırmasında, suyun üzerindeki yansımalarla tam bir kartpostal görüntüsü sunar.","The most photographed spot in Bruges, Rozenhoedkaai offers a captivating view where canals merge. Especially at sunset and with night illuminations, it presents a perfect postcard image with reflections on the water."
Brugge,Ryckevelde,Doğa,"Büyülü Ryckeveldebos ormanının yanında, şato, park ve hayvan çiftliğiyle aile dostu rekreasyon alanı. Yürüyüş parkurları, çocuk oyun alanları ve kafesiyle, hafta sonu gezisi için ideal.","A family-friendly recreation area by the magical Ryckeveldebos forest, with castle, park, and animal farm. Ideal for weekend trips with hiking trails, children's playgrounds, and cafe."
Brugge,Sans Cravate,Restoran,Michelin yıldızlı yaratıcı Belçika mutfağı. Yerel lezzetlerin tadına varmak ve keyifli bir akşam geçirmek için harika bir seçenek. Samimi atmosferi ve kaliteli hizmetiyle damak zevkinize hitap edecek unutulmaz bir deneyim sunuyor.,Michelin starred creative Belgian cuisine. A great option to taste local flavors and spend a pleasant evening. It offers an unforgettable experience appealing to your palate with its friendly atmosphere and quality service.
Brugge,Sanseveria Bagelsalon,Kafe,"Vintage dekorasyonu, ev yapımı bagelleri ve sıcak atmosferiyle dikkat çeken butik kahvaltı mekanı. Brunch severler için gizli bir hazine, Amerikan tarzı bageller ve güçlü kahvelerle enerjik bir güne başlangıç.","A boutique breakfast venue notable for vintage decor, homemade bagels, and warm atmosphere. A hidden treasure for brunch lovers, starting an energetic day with American-style bagels and strong coffees."
Brugge,Sashuis,Tarihi,"Minnewater (Aşk Gölü) üzerindeki su seviyesini düzenleyen, 16. yüzyıldan kalma tarihi savak evi. Gotik mimarisi ve romantik konumuyla, Brugge'ün hidrolojik mühendislik tarihine tanıklık eden yapı.",A 16th-century historic lock house regulating water levels on Minnewater (Lake of Love). A structure witnessing Bruges' hydraulic engineering history with Gothic architecture and romantic location.
Brugge,Schellemolen,Tarihi,"Damme kanalının kenarında pitoresk manzarasıyla dikkat çeken tarihi yel değirmeni. Bisiklet rotası üzerinde mola vermek ve fotoğraf çekmek için ideal, Brugge kırsalının simgesi.","A historic windmill notable for its picturesque scenery by Damme canal. Ideal for taking a break on the bicycle route and photography, a symbol of Bruges countryside."
Brugge,Sea Life Blankenberge,Müze,"Çeşitli deniz canlılarını barındıran akvaryum, köpekbalıkları ve denizanaları ile ailelere yönelik merkez. Eğitici sergiler, dokunma havuzları ve çocuk aktiviteleriyle, yağmurlu gün planı.","An aquarium housing various marine creatures, a family-oriented center with sharks and jellyfish. A rainy day plan with educational exhibitions, touch pools, and children's activities."
Brugge,Seafront Zeebrugge,Müze,Eski balık halinde kurulu denizcilik müzesi. Gerçek bir Rus denizaltısını gezebilirsiniz.,Maritime museum established in olf fish market. You can visit a real Russian submarine.
Brugge,Serpentarium,Müze,"Blankenberge'de egzotik sürüngenler ve yılanların sergilendiği küçük ama ilgi çekici hayvanat bahçesi. Eğitici turlar ve canlı gösterilerle, doğa meraklıları için benzersiz deneyim.",A small but interesting zoo in Blankenberge exhibiting exotic reptiles and snakes. A unique experience for nature enthusiasts with educational tours and live shows.
Brugge,Simon Stevinplein,Meydan,"Ondalık kesir sisteminin mucidi matematikçi Simon Stevin'in heykelinin bulunduğu, kafeleri ve restoranlarıyla canlı meydan. Büyük Pazar'a yakın konumuyla, turistik keşif arasında mola vermek için ideal.","A lively square where the statue of mathematician Simon Stevin, inventor of the decimal system, stands, with cafes and restaurants. Ideal for taking a break during tourist exploration with its location near the Grote Markt."
Brugge,Sint-Janshospitaal,Müze,"800 yılı aşkın tarihiyle Avrupa'nın en eski hastanelerinden biri, şimdi ortaçağ tıbbı ve ünlü ressam Hans Memling'in şaheserlerini sergileyen müze. Gotik mimarisi, antik eczanesi ve dini sanat eserleriyle benzersiz bir kültürel deneyim.","One of Europe's oldest hospitals with over 800 years of history, now a museum exhibiting medieval medicine and masterpieces by famous painter Hans Memling. A unique cultural experience with Gothic architecture, antique pharmacy, and religious art."
Brugge,Sint-Janshuis Mill,Müze,"1770'lerden kalma, hala aktif olarak un öğüten ve ziyarete açık tarihi yel değirmeni. Değirmenin çalışma mekanizmasını öğrenebilir, tepedeki konumundan şehir manzarasını seyredebilirsiniz.","A historic windmill from the 1770s, still actively grinding flour and open for visits. You can learn the mill's working mechanism and watch city views from its hilltop location."
Brugge,Sint-Janshuismolen,Tarihi,"Hala aktif olarak un öğüten ve içine girilebilen tarihi yel değirmeni. 1770'lerden kalma bu çalışan değirmen, Brugge'ün tarım geçmişine açılan canlı bir pencere ve kanalların panoramik manzarasını sunuyor.",A historic windmill still actively grinding flour that you can enter. This working mill from the 1770s offers a living window into Bruges' agricultural past and panoramic views of the canals.
Brugge,Sint-Trudo Abbey,Tarihi,"Eskiden kale olan, şimdi manastır olarak kullanılan tarihi yapı. Güzel bir parkı vardır.","Historic structure formerly a castle, now used as monastery. Has a beautiful park."
Brugge,Sluis,Alışveriş,"Hollanda sınırının hemen ötesinde, güzel evleri ve zengin alışveriş olanaklarıyla ünlü kasaba. Sınır ötesi günübirlik gezi, pazarcılar ve turist dostu mağazalarla dolu.","A town just across the Dutch border, famous for beautiful houses and rich shopping opportunities. A cross-border day trip, full of market vendors and tourist-friendly stores."
Brugge,Smedenpoort,Tarihi,"Üzerinde bronz bir kafatası bulunan, demirciler loncasıyla ilişkili tarihi kapı.","Historic gate associated with the blacksmiths' guild, featuring a bronze skull on it."
Brugge,Smedenvest,Park,"Eski şehir surları boyunca uzanan, kanal manzaralı yeşil ve sakin yürüyüş güzergahı. Bisikletliler ve yürüyüşçüler için ideal, turistik kalabalıktan uzak bir rota.","A green and quiet walking route with canal views extending along old city walls. An ideal route for cyclists and walkers, away from tourist crowds."
Brugge,Snuffel Hostel Bar,Bar,"Sık sık canlı müzik etkinliklerine ev sahipliği yapan, samimi ve rahat hostel barı. Yerel ve uluslararası gezginlerin kaynaştığı, bütçe dostu içkiler ve dostane atmosfer.",An intimate and comfortable hostel bar frequently hosting live music events. A budget-friendly drink and friendly atmosphere where local and international travelers mingle.
Brugge,Speelmansrei,Manzara,"Şehrin kuzeybatısında, yeşillikler içinde sakin bir kanal manzarası sunan romantik köşe. Müzisyenler kanalı anlamına gelen adıyla, ortaçağda gezici müzisyenlerin yaşadığı bölge.","A romantic corner in the city's northwest offering a calm canal view among greenery. With its name meaning musicians' canal, the area where traveling musicians lived in medieval times."
Brugge,Spegelaere Chocolatier,Alışveriş,"1963'ten beri aile işletmesi olarak çalışan, otantik Belçika çikolataları üreten butik atölye. Klasik tatlar, geleneksel teknikler ve sıcak servisyle, çikolata deneyimi.","A boutique workshop producing authentic Belgian chocolates as a family business since 1963. A chocolate experience with classic flavors, traditional techniques, and warm service."
Brugge,Spiegelrei,Manzara,"Jan van Eyck meydanından uzanan, suya yansıyan tarihi binaların görsel şöleni sunan kanal. Gece aydınlatmasıyla büyüleyici, gündüz ise canlı renkleriyle dikkat çeken fotojenik güzergah.",A canal extending from Jan van Eyck square offering a visual feast of historic buildings reflected in the water. A photogenic route enchanting with night lighting and notable for vibrant colors by day.
Brugge,St Salvator's Cathedral,Tarihi,"Brugge'ün en eski kilisesi ve katedrali. Tarih meraklıları için eşsiz bir hazine olan bu mekan, geçmişe ışık tutan detaylarıyla ziyaretçilerini büyülüyor. Kültürel bir yolculuğa çıkmak isteyenler için ideal bir durak.","Bruges' oldest church and cathedral. A unique treasure for history buffs, this venue captivates visitors with details that shed light on the past. An ideal stop for those wishing to embark on a cultural journey."
Brugge,St. Anne's Church,Tarihi,"Dışarıdan sade gotik, içeriden süslü barok bir kilise. Yerel halkın favorisidir.","Plain Gothic outside, ornate Baroque inside. A favorite of locals."
Brugge,St. Giles Church,Tarihi,"13. yüzyıldan kalma, ünlü Flaman ressamların (Memling, Van Eyck) ibadet ettiği ve bazılarının gömüldüğü tarihi kilise. Sanat tarihine tutkulu olanlar için özel bir hac noktası.","A 13th-century historic church where famous Flemish painters (Memling, Van Eyck) worshipped and some were buried. A special pilgrimage point for those passionate about art history."
Brugge,St. James's Church,Tarihi,"Zengin sanat koleksiyonu ve bağışçı ailelerinin anıtsal mezarlarıyla dikkat çeken tarihi kilise. Gotik mimarisi, Flaman resim şaheserleri ve yakındaki sanat galerisiyle, sanat tarihi tutkunlarının durağı.","A historic church notable for its rich art collection and monumental tombs of donor families. A stop for art history enthusiasts with Gothic architecture, Flemish painting masterpieces, and nearby art gallery."
Brugge,St. Walburga Church,Tarihi,"Brugge'deki en etkileyici Barok kilisesi, muhteşem mermer sunağı ve ahşap heykelleriyle göz kamaştırıyor. Yaz akşamları organ konserlerine ev sahipliği yapan bu yapı, dini sanat ve müziğin buluşma noktası.","The most impressive Baroque church in Bruges, dazzling with its magnificent marble altar and wooden sculptures. This structure hosting organ concerts on summer evenings is where religious art and music meet."
Brugge,Stadhuis van Brugge,Tarihi,"1376'da inşa edilen, Belçika'nın en eski belediye binalarından biri. Gotik salonu büyüleyicidir.","One of Belgium's oldest city halls, built in 1376. Its Gothic hall is fascinating."
Brugge,Steenstraat,Alışveriş,"Ana alışveriş caddesi. Bölgeye özgü ürünleri keşfetmek ve sevdiklerinize hediyeler almak için uğramanız gereken bir yer. Renkli dükkanlar ve canlı atmosfer, alışveriş deneyiminizi çok daha keyifli hale getirecek.",Main shopping street. A place you must stop by to discover region-specific products and buy gifts for your loved ones. Colorful shops and a lively atmosphere will make your shopping experience much more enjoyable.
Brugge,Ter Doest Abbey,Tarihi,"13. yüzyıldan kalma devasa tuğla tahıl ambarıyla ünlü eski Cistercian manastırı. Gotik tarım mimarisi harikası, yanındaki gurme restoran ve huzurlu atmosferiyle kırsal kaçamak.","A former Cistercian abbey famous for its massive 13th-century brick barn. A rural getaway with Gothic agricultural architecture wonder, adjacent gourmet restaurant, and peaceful atmosphere."
Brugge,That's Toast,Kafe,"Modern brunch ve kahve. Günün yorgunluğunu atmak ve lezzetli bir kahve eşliğinde dinlenmek için en doğru adreslerden biri. Mekanın sıcak ambiyansı ve sunduğu tatlı sürprizler, molanızı keyfe dönüştürecek.",Modern brunch and coffee. One of the right addresses to relieve the tiredness of the day and relax with a delicious coffee. The warm ambiance of the venue and the sweet surprises it offers will turn your break into pleasure.
Brugge,The Chocolate Line,Alışveriş,"Belçika çikolata ustası Dominique Persoone'un çılgın ve ödüllü çikolata kreasyonlarını sunan dünyaca ünlü atölye. Wasabi, bira ve acı biber gibi sıra dışı tatlarla, çikolata dünyasının sınırlarını zorlayan yaratıcı bir deneyim.","A world-famous workshop offering crazy and award-winning chocolate creations by Belgian chocolate master Dominique Persoone. A creative experience pushing the limits of the chocolate world with extraordinary flavors like wasabi, beer, and hot pepper."
Brugge,The Monk,Bar,"Geniş bira menüsü, bilardo masaları ve rahat ortamıyla ünlü geleneksel Belçika barı. Yerel halk arasında popüler, turistik olmayan otantik bar deneyimi arayanlar için ideal.","A traditional Belgian bar famous for extensive beer menu, pool tables, and comfortable atmosphere. Ideal for those seeking an authentic non-touristy bar experience, popular among locals."
Brugge,The Old Chocolate House,Kafe,"En iyi sıcak çikolata deneyimi. Günün yorgunluğunu atmak ve lezzetli bir kahve eşliğinde dinlenmek için en doğru adreslerden biri. Mekanın sıcak ambiyansı ve sunduğu tatlı sürprizler, molanızı keyfe dönüştürecek.",Best hot chocolate experience. One of the right addresses to relieve the tiredness of the day and relax with a delicious coffee. The warm ambiance of the venue and the sweet surprises it offers will turn your break into pleasure.
Brugge,The Olive Tree,Restoran,"Yunan ve Akdeniz lezzetlerini Belçika'ya taşıyan, sıcak atmosferli restoran. Mezeler, zeytinyağlı yemekler ve Yunan şaraplarıyla, farklı bir mutfak deneyimi.","A restaurant bringing Greek and Mediterranean flavors to Belgium with warm atmosphere. A different cuisine experience with appetizers, olive oil dishes, and Greek wines."
Brugge,The Potato Bar,Restoran,Belçika'nın meşhur patates kızartmasını gurme lezzetlerle birleştiren modern bar.,Modern bar combining Belgium's famous fries with gourmet flavors.
Brugge,Tillegembos,Park,"Bir şato ve geniş ormanla çevrili, Brugge'ün hemen dışındaki popüler rekreasyon bölgesi. Yürüyüş yolları, göletler ve doğa gözlem kuleleriyle, doğa severler için yakın bir kaçış noktası.","A popular recreation area just outside Bruges, surrounded by a castle and extensive forest. A nearby escape point for nature lovers with walking paths, ponds, and nature observation towers."
Brugge,Torture Museum Oude Steen,Müze,"Eski bir hapishanede kurulan, ortaçağ Avrupa'sının karanlık yargı ve ceza sistemini gözler önüne seren müze. Gerçek işkence aletleri, idam yöntemleri ve korkutucu hikayelerle, tarihin karanlık yüzüyle yüzleşme.","A museum established in an old prison revealing the dark judicial and punishment system of medieval Europe. Confronting history's dark face with real torture instruments, execution methods, and frightening stories."
Brugge,Tudor Castle,Tarihi,"Loppem yakınlarında, İngiliz Tudor stilini taklit eden ilginç şato. Mimari merakı, labirent bahçesi ve doğa yürüyüşleriyle, günübirlik kaçamak için romantik bir seçenek.","An interesting castle near Loppem imitating English Tudor style. A romantic option for day getaway with architectural curiosity, maze garden, and nature walks."
Brugge,Tête Pressée,Restoran,"Geleneksel Belçika ve Fransız mutfağını modern yorumlarla sunan şık bistro. Mevsimlik menüsü, kaliteli şarapları ve zarif sunumuyla, özel bir yemek deneyimi.","An elegant bistro offering traditional Belgian and French cuisine with modern interpretations. A special dining experience with seasonal menu, quality wines, and elegant presentation."
Brugge,Uilenspiegel Museum,Müze,"Efsanevi Flaman halk kahramanı Tijl Uilenspiegel'e adanmış küçük ama büyüleyici müze. Folklor, yerel efsaneler ve mizah tarihine ışık tutan koleksiyonuyla, bölge kültürüne dalış.","A small but enchanting museum dedicated to legendary Flemish folk hero Tijl Uilenspiegel. A dive into regional culture with its collection shedding light on folklore, local legends, and history of humor."
Brugge,Uitkerkese Polder,Doğa,"Belçika'nın en önemli kuş gözlem alanlarından biri olan geniş tarım arazisi ve sulak alan. Göçmen kuşlar, dramatik gökyüzü ve düz manzarasıyla, doğa fotoğrafçılarının cennet.","An extensive agricultural land and wetland, one of Belgium's most important bird watching areas. A paradise for nature photographers with migratory birds, dramatic skies, and flat landscapes."
Brugge,Vismarkt Brugge,Pazar,1821'den kalma sütunlu yapısıyla tarihi balık pazarı. Şimdi hediyelik eşyalar da satılıyor.,Historic fish market with its pillared structure from 1821. Now souvenirs are also sold.
Brugge,Vlissinghe,Restoran,1515'ten beri açık olan Brugge'ün en eski barı. Yerel lezzetlerin tadına varmak ve keyifli bir akşam geçirmek için harika bir seçenek. Samimi atmosferi ve kaliteli hizmetiyle damak zevkinize hitap edecek unutulmaz bir deneyim sunuyor.,1515'ten beri açık olan Brugge'ün en eski barı. A great option to taste local flavors and spend a pleasant evening. It offers an unforgettable experience appealing to your palate with its friendly atmosphere and quality service.
Brugge,Volkskundemuseum,Müze,"19. yüzyıl Brugge yaşamını, eski sınıfları, dükkanları ve atölyeleri sergileyen müze.","Museum exhibiting 19th century Bruges life, old classrooms, shops and workshops."
Brugge,Walplein,Meydan,"De Halve Maan bira fabrikasının önündeki şirin meydan, kestane ağaçlarının gölgesinde bira içmek için mükemmel. Küçük butikler, kafeler ve otantik Brugge atmosferiyle, sakin bir mola noktası.","A charming square in front of De Halve Maan brewery, perfect for drinking beer in the shade of chestnut trees. A quiet rest point with small boutiques, cafes, and authentic Bruges atmosphere."
Brugge,Wijngaardplein,Meydan,"Begijnhof'un ana girişini oluşturan, kuğuların beslendiği nostaljik ve huzurlu küçük meydan. Minnewater parkına açılan bu romantik köşe, Brugge'ün en büyüleyici fotoğraf noktalarından biri.","A nostalgic and peaceful small square forming the main entrance to Begijnhof, where swans are fed. This romantic corner opening to Minnewater park is one of Bruges' most enchanting photo spots."
Brugge,Windmills Park,Park,"Tarihi yel değirmenleri ve yürüyüş parkuru. Doğayla iç içe, huzur dolu anlar yaşamak isteyenler için mükemmel bir kaçış noktası. Şehrin gürültüsünden uzaklaşıp nefes almak ve harika fotoğraflar çekmek için birebir.","Historic windmills and walking path. A perfect getaway for those who want to experience peaceful moments in nature. Ideal for getting away from the city noise, taking a breath, and capturing great photos."
Brugge,Yesterday's World,Müze,"Eski oyuncaklar, nostaljik eşyalar ve 20. yüzyıl yaşam tarzını sergileyen vintage müze-mağaza. Çocukluk anılarına yolculuk ve benzersiz hediyelik eşyalar için keyifli bir durak.","A vintage museum-store exhibiting old toys, nostalgic items, and 20th-century lifestyle. An enjoyable stop for a journey into childhood memories and unique souvenirs."
Brugge,Zeebrugge Beach,Doğa,"Brugge'ün Kuzey Denizi kıyısındaki liman kasabası, geniş kumsalı ve deniz havasıyla günübirlik ziyaret için ideal. Balık restoranları, gezinti iskelesi ve deniz müzesiyle, şehir hayatından kaçış.","Bruges' port town on the North Sea coast, ideal for day visits with wide beach and sea air. An escape from city life with fish restaurants, promenade pier, and maritime museum."
Brugge,Zwin Nature Park,Doğa,'Uluslararası kuş havaalanı' olarak bilinen önemli tuzlu su bataklığı ve doğa parkı.,Important salt marsh and nature park known as 'international bird airport'.
Brüksel,Abbaye de la Cambre gardens,Park,"13. yüzyılda kurulan Sistersyen manasıtırı çevresinde oluşan bu Fransız tarzı bahçeler, avlu ve göletleriyle şehrin en huzurlu köşelerinden. Bois de la Cambre'a yürüyüş başlanp noktası, Gotik kilise de ziyaret edilebilir.",
Brüksel,Amadeus,Restoran,"Sınırsız kaburga (all-you-can-eat ribs) konseptiyle Brüksel'de efsane haline gelen Amadeus, eski bir kitapçı binasında yer alır. Etrafınızı saran raflardaki binlerce kitap arasında, dumanlı BBQ soslu kaburgalarla tadın.",
Brüksel,Astérix & Obélix Mural,Sanat,"Rue de la Buanderie'́de yer alan bu duvar resmi, Astérix, Obélix ve köpeği İdefix'i Romalılara saldırırken gösterir. Goscinny ve Uderzo'nun yarattığı Gçalfların maceraları bu renkli resimde canlanıyor.",
Brüksel,Atomium,Müze,"1958 Dünya Fuarı için inşa edilen bu 102 metre yüksekliğindeki demir atom modeli, günümüzde Brüksel'in en ikonik yapısı. 9 küresinin içinde müze, restoran ve gözlem terası yer alıyor. Gece ışıklandırmasıyla uzaydan gelmiş gibi görünüyor.","Built for the 1958 World's Fair, this 102-meter-high iron atom model is now Brussels' most iconic structure. Its 9 spheres house a museum, restaurant, and observation terrace. Under night lighting, it looks like it came from space."
Brüksel,Au Bon Vieux Temps,Bar,"1695'ten beri ayakta kalan bu gizli hazine, vitray pencereleri ve ahşap oymalarıyla bir kiliseyi andırır. Grand Place'ın gürültüsünden kaçıp zamanda 300 yıl geriye gitmek ve Westvleteren içmek için ideal.",
Brüksel,Autoworld,Müze,"Cinquantenaire Parkı'nın güney kanadında yer alan bu müze, otomobil tarihine ışık tutar. 250'den fazla klasik araba, spor modeller ve kraliyet araçları, muhteşem bir çelik konstrüksiyon altında sergilenir.",Museum in Cinquantenaire Park displaying hundreds of classic cars.
Brüksel,Aux Merveilleux de Fred,Tatlı,Sadece 'Merveilleux' (Mereng ve krema) ve 'Cramique' (brioche) üzerine uzmanlaşmış bir pastane. Vitrinin önünde devasa merenglerin hazırlanışını izlemek bile ayrı bir keyif. Yanında kahve ile tüketin.,Patisserie famous for cloud-light meringue sweets.
Brüksel,Ballekes,Restoran,"Geleneksel Belçika köftelerini (ballekes/boulettes) modern bir dokunuyla sunan bu zincir, 30'dan fazla farklı sos seçeneği ile özelleştirme imkanı tanır. Hintlistan cevizi sütülü köri ya da Lieĉge soslu köfte deneyin.",
Brüksel,BarBeton,Bar,"Adını beton ağırlıklı modern endüstriyel dekorundan alan bu mekan, Dansaert caddesinde mola vermek için şık bir duraktır. Gündüz kahve ve laptopla çalışma ortamı, akşam ise DJ eşliğinde kokteyl barına dönüşür.",
