Şehir;Yer Adı;Kategori;Bölge;Rating;Açıklama (TR);Description (EN)
Bruksel;Meise Botanical Garden;Doğa;Meise;4.5;93 hektarlık alanüyla dünyanın en büyük botanik bahçelerinden biri. 18.000'den fazla bitki türü, tarihi Bouchout Şatosu ve cam seralar keşfolunmayı bekliyor. Bitki tutkunları için bir gün yetmez!;
Bruksel;Moeder Lambic Fontainas;Bar;Fontainas;4.6;Bira uzmanlarının hacamac buluşma noktası olan bu bar, 40'tan fazla musluk birası ve yüzlerce şişe bira sunar. Lambic, Gueuze ve Kriek gibi geleneksel Belçika biralarını en iyi şekilde tadım edebileceğiniz, samimi ve bilgili personelle dolu bir mekan.;A meeting point for beer experts, this bar offers over 40 draft beers and hundreds of bottled beers. A cozy place with knowledgeable staff where you can best taste traditional Belgian beers like Lambic, Gueuze, and Kriek.
Bruksel;Moeder Lambic Original;Bar;Saint-Gilles;4.6;Bira tutkunlarının 'tapınağı' kabul edilen bu mekan, Saint-Gilles belediye binasının arkasında yer alır. 400'den fazla zanaatkar bira çeşidi ve bilgili garsonlarıyla gerçek bir bira kültürü deneyimi sunar.;
Bruksel;Monk;Bar;Sainte-Catherine;4.6;Sainte-Catherine'in en sevilen mahalle barlarından Monk, sadece spagetti (ve çok iyi spagetti) servis eden mutfağı ve geniş bira menüsüyle ünlüdür. Arka taraftaki piyano eşliğinde samimi bir akşam için mükemmel.;
Bruksel;Monsieur Jean Mural;Sanat;Merkez;4.6;Philippe Dupuy ve Charles Berberian'nın modern şehir hayalatını anlatan 'Monsieur Jean' serisi, Brüksel'in çağdaş yüzünü yansıtan bir duvar resmine dönüştü. Aşk, dostluk ve büyük şehir yaşamı.;
Bruksel;Mont des Arts;Manzara;Merkez;4.8;Kraliyet Müzesi ile Grand Place arasındaki bu teraslı bahçe, Brüksel'in en romantik köşesidir. Geometrik çiçek tarhları, fıskiyeler ve görkemli merdivenleriyle gün batımında altın rengine bürünen şehir siluetini izlemek için ideal nokta.;This terraced garden between the Royal Museum and Grand Place is Brussels' most romantic corner. With geometric flower beds, fountains, and grand staircases, it's the ideal spot to watch the city skyline turn golden at sunset.
Bruksel;Monument to the Dynasty;Simge;;4.4;Laeken Parkı'nın içinde yükselen bu neo-gotik anıt, Belçika Hanedanı'nın ilk krallarına adanmıştır. Dokuz sütunu Belçika'nın dokuz eski eyaletini temsil eder ve masalsı bir kulenin zirvesinde kralın tacı bulunur.;
Bruksel;Museum of the City of Brussels;Müze;Grand Place;4.5;Grand Place'daki gotik Kralın Evi (Maison du Roi) binasında yer alan bu müze, Brüksel'in zenğin tarihini anlatır. Manneken Pis'in 1000'den fazla kostümü de burada sergilenir - Elvis'ten astronot kıyafetine kadar her şey var!;
Bruksel;Musical Instruments Museum;Müze;Mont des Arts;4.7;1905'te inşa edilen muhteşem Art Nouveau binasında dünyanın en büyük müzik aleti koleksiyonlarından biri. 10.000'den fazla enstrümanı kulaklıklarla dinlerken keşfediyorsunuz. Çatı katındaki restorandan Brüksel'in 360 derece manzarası görülüyor.;One of the world's largest musical instrument collections in a magnificent Art Nouveau building from 1905. Discover over 10,000 instruments while listening through headphones. The rooftop restaurant offers 360-degree views of Brussels.
Bruksel;Natacha Mural;Sanat;;4.4;François Walthéry'nin yarattığı Natacha, çizgi roman dünyasının ilk güçlü ve bağımsız kadın karakterlerinden biridir. Hostes üniformasıyla Rue Jan Bollen'deki duvarda maceralarına devam ediyor.;
Bruksel;Natural Sciences Museum;Müze;Leopold Park;4.7;Dünyanın en büyük Iguanodon koleksiyonuyla ünlü bu müze, 37 metrelik dinozor iskeletleri, gerçekçi moaellerve interaktif sergilerle hem çocukları hem yetişkinleri hayran bırakır. Galéri des Dinosaures, Avrupa'nın en büyük dinozor sergisidir.;Famous for having the world's largest Iguanodon collection, this museum amazes both children and adults with 37-meter dinosaur skeletons, realistic models, and interactive exhibits. Galérie des Dinosaures is Europe's largest dinosaur exhibition.
Bruksel;Nero Mural;Sanat;Saint-Gery;4.6;Marc Sleen'in yarattığı Nero karakteri, Saint-Géry meydanında kuşları beslerken tasvir ediliyor. 1947'den beri Belçika'ın en uzun süre yayınlanan çizgi romanı olan Nero, burada huzurlu bir anı yaşıyor.;
Bruksel;Neuhaus - Galerie de la Reine;Tatlı;;4.4;1857'de açılan ve 1912'de 'pralin'i icat eden efsanevi çikolatacı. Galeries Royales'deki bu tarihi mağaza, ihtişamlı dekoru ve klasik lezzetleriyle çikolata tarihinin başladığı yerdir. Caprice ve Tentation çeşitlerini deneyin.;
Bruksel;Neuhaus Chocolates - Galerie de la Reine;Alışveriş;Merkez;4.7;1857'de kurulan ve pralinin mucidi olan Neuhaus'un Galeries Royales Saint-Hubert içindeki tarihi mağazası. Müze gibi korunan iç mekanı ve klasik Belçika çikolatalarıyla bir lezzet mabedi.;Inventor of praline. This shop inside the arcade is fascinating with its historic atmosphere.
Bruksel;Nona Pizza;Restoran;Sainte-Catherine;4.5;Yeni dalga Napoli pizzası anlayışını Belçika malzemeleriyle birleştiren Nona, çıtır kenarları ve yusuşak içiyle pizza gurmelerini mest eder. Belgio (Belçika peynirlıı) ve Truffle pizzaları favorilerdir.;
Bruksel;Noordzee - Mer du Nord;Sokak Lezzeti;Sainte-Catherine;4.7;Sainte-Catherine meydanındaki bu efsanevi balık standı, Brüksel'in en iyi ayaküstü lezzet durağıdır. Şampanya veya beyaz şarap eşliğinde taze istiridye, karides kroket veya balık çorbası içmek bir klasik.;Standing fresh seafood, fish soup and wine enjoyment.
Bruksel;Notre Dame du Sablon;Tarih;Sablon;4.5;15. yüzyılın sonlarında tamamlanan bu geç Gotik başyapıt, Brüksel'in en güzel vitray pencerelerine sahip. Alevli Gotik tarzının en iyi örneklerinden biri olan kilise, Sablon meydanmın görkemini tamamlar.;
Bruksel;Nüetnigenough;Restoran;Merkez;4.6;'Asla yetmez' anlamına gelen (Brüksel lehçesi) bu restoran, Belçika biralarıyla pişirilen geleneksel yemeklerde uzmandır. Turistik merkeze çok yakın olmasına rağmen kalitesinden ödün vermeyen, yerel ve samimi bir lezzet durağı.;
Bruksel;OR Coffee;Kafe;Merkez;4.5;Kendi kavurma ateldyesine sahip OR Coffee, çekirdekten fincana tüm sürecy kontrol eder. Merkezi konumuyla lap-top'la çalışanların ve kahve tutkunlarının favorisodir. V60, Chemex ve espresso seçenekleri var.;
Bruksel;Odilon Verjus Mural;Sanat;;4.4;Yann ve Verron'un yarattığı misyoner rahip Odilon Verjus, bu duvar resminde yerel halkla (ve domuzla) eğlenceli bir sahnede görülüyor. Rue des Capucins'de, tarihi dokuya renk katan bir eser.;
Bruksel;Old City Wall;Tarih;Merkez;4.5;1356'da inşa edilen ilk sürlardar günümüze kalan duvar parçaları, binaların arasına sıkışmış halde keşfedilmeyi bekliyor. Rue de Villers ve civarmıda rastlanan bu kalıntılar, şehrin ortaçağ geçmişinden izler taşır.;
Bruksel;Pannenhuis Metro Station;Sanat;;4.6;1970'lerin fütüristtik tasarımını yansıtan bu metro istasyonu, turuncu renkli dairesel tavan elemanları ve çelik detaylarıyla 'Otomatik Portakal' filmini andırır. Brüksel metrosunun en çok Instagramlanan durağı.;
Bruksel;Parc Leopold;Park;European Quarter;4.6;Avrupa Parlamentosu'nun gölgesinde saklı kalmış bu romantik park, eski hayvanat bahçesinin kalıntıları üzerine kurulmuştur. Göleti, tarihi kulesi ve sessiz atmosferiyle AB çalışanlarının öğle molası kaçamağıdır.;Peaceful park with a pond in the shadow of the European Parliament.
Bruksel;Parc de Wolvendael;Park;;4.4;Uccle bölgesinin bu inişli çıkışlı parkı, asırlık ağaçları, romantik köprüleri ve Louis XV tarzı pavyonuyla göz alıcıdır. Sessiz yürüyüşler ve doğa fotoğrafçılığı için şehirdeki en huzurlu kaçış noktalarından biridir.;
Bruksel;Parc du Cinquantenaire;Park;European Quarter;4.7;Belçika'nın 50. bağımsızlık yılı için inşa edilen bu anıtsal park, devasa zafer takı (Arcades), müzeleri ve geniş çim alanlarıyla şehrin en görkemli yeşil alanıdır. Piknikçiler, koşucular ve tarih severlerin buluşma noktası.;City's most magnificent park surrounded by a giant triumphal arch and museums.
Bruksel;Park Pierre Paulus;Park;;4.4;Saint-Gilles'in kalbinde saklı kalmış bu küçük park, ördekli göleti, heykelleri ve kayalık düzenlemeleriyle 'gizli bahçe' hissi verir. Mahalle sakinlerinin kitap okumak için tercih ettiği sakin bir vaha.;
Bruksel;Passage du Nord;Alışveriş;Merkez;4.5;1882'de inşa edilen ve G aleries Royales'dan daha az bilinen bu Art Nouveau pasaj, zarif cam tavanlı ve oymalí alçı tavanlarıyla gizli bir mücevher. Antika&çiler ve butiklerle dolu, turistik olmadan alışveriş keyfi.;
Bruksel;Passe-Moi L'Ciel Mural;Sanat;;4.4;Stuf ve Janry'nin yarattığı 'Passe-Moi L'Ciel' (Cenneti Uzat), Aziz Petrus'un cennet kapısındaki komik sınavlarını anlatır. Rue des Minimes'de yer alan bu duvar resmi, ölümden sonraki hayatı mizahi bir dille ele alır.;
Bruksel;Peck 47;Kafe;Merkez;4.6;Brüksel'in en popüler brunch mekanı olarak bilinen Peck 47, hafta sonları kapdın önce uzun kuyruklar oluşturur. Benedict yumurtaları, ev yapımı granolay ve taze sıkılmış portakal suyu ile güne mükemmel başlancanız sunar. Minimalist iç tasarımı ve samimi atmosferiyle öne çıkar.;Known as Brussels' most popular brunch spot, Peck 47 creates long queues before opening on weekends. Offers a perfect start to the day with Benedict eggs, homemade granola, and fresh-squeezed orange juice. Stands out with minimalist interior design and friendly atmosphere.
Bruksel;Pierre Marcolini;Alışveriş;Sablon;4.8;Dünyanın en iyi çikolata şeflerinden Pierre Marcolini'nin amiral gemisi dükkanı. Kakao çekirdeklerini bizzat seçip işlediği butik çikolatalar, pralinler ve makaronlar sanat eseri gibi sunum görüyor. Şampanyalı trüf ve zencefilli çikolata mutlaka denenmeli.;Flagship store of Pierre Marcolini, one of the world's best chocolate chefs. Boutique chocolates, pralines, and macarons made from personally selected and processed cocoa beans are presented like art. Must try champagne truffle and ginger chocolate.
Bruksel;Pierre Marcolini - Sablon;Tatlı;;4.4;Dünyanın en iyi pasta ve çikolata şeflerinden biri seçilen Pierre Marcolini'nin Sablon'daki amiral mağazası. Kendi kakao çekirdeklerini kavuran nadir şeflerden. Makaronları ve pralinleri birer mücevher gibi sergileniyor.;
Bruksel;Place Flagey;Meydan;Ixelles;4.6;Ixelles göletlerinin kıyısındaki bu devasa meydan, Art Deco tarzı eski radyo binası (Flagey) ile domine edilir. Kültür merkezi, hafta sonu pazarı, Café Belga ve gölet manzarasıyla şehrin en kültürel noktalarından biri.;
Bruksel;Place Jourdan Market;Pazar;;4.4;Her Pazar kurulan bu yerel pazar, Avrupa Birliği çalışanları ve yerel halkın buluşma noktasıdır. Taze çiftlik ürünleri, kızarmış tavuk kokuları ve hemen yanındaki Maison Antoine'dan alınan patateslerle keyifli bir hafta sonu ritüeli.;
Bruksel;Place Poelaert;Manzara;Marolles;4.5;Devi Adalet Sarayı'nın önündeki bu geniş meydan, Brüksel'in en iyi gün batımı noktalarından biri. Aşağıda Marolles mahallesi ve öteisnde Atomium'a kadar uzanan 180 derece manzara sunar. Ücrelsiz cam asansörle Marolles'a inin.;
Bruksel;Place Saint-Géry;Meydan;Merkez;4.6;Brüksel'in doğduğu yer olarak bilinen bu ada, şimdi gece hayatının merkezidir. Tarihi kapalı pazar binası (Halles Saint-Géry) sergilere ev sahipliği yaparken, çevresindeki teraslar akşamları gençlerle dolup taşar.;
Bruksel;Place Sainte-Catherine;Meydan;Sainte-Catherine;4.6;Bir zamanlar şehrin balık limanı olan bu meydan, bugün Brüksel'in en canlı yeme-içme bölgelerinden biri. Noordzee gibi ayaküstü deniz ürünleri mekanları ve balık restoranlarıyla ünlü. Noel döneminde kurulan pazar ve buz pateni pisti büyüleyici.;Once the city's fish port, this square is now one of Brussels' liveliest dining areas. Famous for standing seafood spots like Noordzee and fish restaurants. The Christmas market and ice skating rink set up during the holiday season are enchanting.
Bruksel;Place du Châtelain;Meydan;Ixelles;4.6;Ixelles'in şık ve yaşam dolu meydanı, Çarşamba günleri kurulan gurme pazarıyla efsaneleşmiştir. İş çıkışı (afterwork) aperitifleri, şarap barları ve canlı atmosferiyle yerel halkın sosyalleşme noktasıdır.;
Bruksel;Place du Grand Sablon;Meydan;Sablon;4.7;Brüksel'in en şık semtlerinden Sablon'un kalbi olan bu meydan, hafta sonu antika pazarı, lüks çikolata dükkanları ve zarif kafelerle çevrilidir. Pierre Marcolini, Wittamer ve Patrick Roger gibi dünyaca ünlü çikolatacılar burada sıralanır. Notre-Dame du Sablon Kilisesi'nin yanında.;The heart of Sablon, one of Brussels' most elegant neighborhoods, this square is surrounded by weekend antique markets, luxury chocolate shops, and refined cafes. World-famous chocolatiers like Pierre Marcolini, Wittamer, and Patrick Roger line up here. Next to Notre-Dame du Sablon Church.
Bruksel;Poechenellekelder;Bar;Merkez;4.6;Manneken Pis'in hemen karşısında yer alan bu otantik bar, tavanından sarkan yüzlerce kukla, eski oyuncak ve tarihi objeyle doludur. Nadir bulunan biraları ve peynir tabaklarıyla hem gözze hem damağa hitap eder.;
Bruksel;Porte de Hal Metro Art;Sanat;;4.6;François Schuiten'in 'Le Passage Inconnu' (Bilinmeyen Geçit) adlı çizgi romanından fırlamış gibi duran istasyon. Duvarlardan çıkan eski tramvaylar ve fütüristik şehir manzaralarıyla yolcuları başka bir boyuta taşır.;
Bruksel;Pêle-Mêle Ixelles;Alışveriş;;4.4;Brüksel'in en büyük ikinci el kültür mağazası. Binlerce kitap, plak, DVD ve oyun arasında saatlerce kaybolabilirsiniz. Uygun fiyatlı hazineler ve antika baskılar bulmak için eşsiz bir yer.;
Bruksel;Quick & Flupke Mural;Sanat;;4.4;Hergé'nin Tenten'den önce yarattığı bu iki yaramaz çocuğun (Quick ve Flupke) maceralarını anlatan duvar resmi, Marolles mahallesinde yer alır. Polis memuru Agent 15 ile olan ezeli rekabetleri komik bir dille resmedilmiş.;
Bruksel;Ric Hochet Mural;Sanat;Merkez;4.6;Tibet ve Duchâteau'nun yarattığı dedektif Ric Hochet, bu aksiyon dolu duvar resminde bir 5inadan tırmananırken görülyor. Pencereleri bile kullanan bu çizim, 3 boyutlu etki yaratıyor.;
Bruksel;Rob The Gourmets' Market;Alışveriş;;4.4;Gastronomi tutkunları için bir mabet olan Rob, dünyanın dört bir yanından gelen en kaliteli ürünleri sunar. 400 çeşit peynir, özel şarap mahzeni ve taze deniz ürünleriyle gurmelerin cennetidir.;
Bruksel;Rouge-Cloître;Doğa;;4.4;Sonian Ormanı'nın kıyısındaki bu eski manastır kompleksi, sanat galerileri, göletler ve oyun alanlarıyla doludur. Hem tarih meraklıları hem de doğa severler için mükemmel bir hafta sonu rotasıdır.;
Bruksel;Royal Greenhouses of Laeken;Park;Laeken;4.9;Sadece baharda kısa süreliğine açılan Art Nouveau şaheseri kraliyet seraları. Nadir bitkiler ve cam mimari.;Art Nouveau masterpiece royal greenhouses opening briefly only in spring. Rare plants and glass architecture.
Bruksel;Royal Military Museum;Müze;Cinquantenaire;4.5;Cinquantenaire Parkı'ndaki dev hangarlarda konumlanan bu müze, 1. ve 2. Dünya Savaşları'ndan tanklar, uçaklar ve zırhlı araçlar sergiler. Zafer Takı'nın üzerinden görülen panoramik manzara için çatıya çıkmayı unutmayın - ücretsiız!;
Bruksel;Royal Palace of Brussels;Saray;Kraliyet Parkı;4.7;Buckingham Sarayı'ndan bile geniş cephesiyle göz dolduran bu saray, Belçika Kralı'nın resmi ikametgahıdır. Her yaz temmuz sonundan eylül başına kadar halka açılır. Jan Fabre'in böcek kanatlarından oluşan tavan eseri mutlaka görülmeli.;With a façade even wider than Buckingham Palace, this is the official residence of the Belgian King. Open to public every summer from late July to early September. Don't miss Jan Fabre's ceiling artwork made of beetle wings.
Bruksel;Sewer Museum;Müze;Anderlecht;4.5;Paris'inkinden ilham alan bu sıra dışı müze, Senne Nehri'nin üstüne inşa edilmiş şehrin görünmez altyapısına götürür. 19. yüzyıl kanalizasyon tünellerinde yürüyerek Brüksel'in mühendislik tarihini keşfedin.;
Bruksel;Smurfs Mural (Putterie);Sanat;Merkez;4.6;Putterie geçidinin tavanını tamamen kaplayan bu dev Şirinler kompoozısyonu, Belçika'nın dünyayı fetheden mavi canlalarını onurlandırıyor. Peyo'nun yarattığı 100'den fazla şirin bu sahnede yer alıyor - hepsini sayabilir msin?;
Bruksel;Spike and Suzy Mural (Bob et Bobette);Sanat;;4.4;Willy Vandersteen'in ünlü kahramanları Bob et Bobette (veya Suske en Wiske), Belçika'nın en popüler çizgi roman ailelerinden biridir. Laeken'deki bu duvar resmi, onların neşeli dünyasını yansıtır.;
Bruksel;Spirou Mural;Sanat;Marolles;4.6;Belçika çizgi romanının en ikonik karakterlerinden Spirou ve sadık sincabı Spip, asansörle gökyüzüne doğru yol alıyor. Place du Jeu de Balle'e yakın, neşeli ve dinamik bir eser.;
Bruksel;Square Ambiorix;Park;European Quarter;4.5;Brüksel'in en muhteşem Art Nouveau cephelerine sahip bu meydan, mimarlik aşıkları için cennettir. Gustave Strauven'in tasarladığı Saint-Cyr Evi gibi ikonik binalar, Horta'ın artüstlüklerini tamamlar. Göletti ve şelale ile huzurlu.;
Bruksel;Square du Petit Sablon;Park;Sablon;4.6;Brüksel'in en romantik köşelerinden biri olan bu neo-rönesans bahçesi, 48 eski meslek loncasını temsil eden bronz heykellerle çevrilidir. Ortasında Egmont ve Hornes kontlarının heykeli bulunur. Bankta oturup huzurun tadını çıkarın.;
Bruksel;St. Michael and St. Gudula Cathedral;Tarihi;Merkez;4.7;13. yüzyıldan 15. yüzyıla kadar inşa edilen bu görkemli gotik katedral, Victor Hugo'nun 'gotik sanatın en saf örneği' dediği yapıdır. Bernard van Orley'in muhteşem vitray pencereleri ve Rubens'in tablolarıyla iç mekan göz kamaştırır. Pazar ayinlerinde koro konserleri.;This magnificent Gothic cathedral, built from the 13th to 15th century, is what Victor Hugo called 'the purest example of Gothic art'. The interior dazzles with Bernard van Orley's stunning stained glass windows and Rubens' paintings. Choir concerts during Sunday mass.
Bruksel;Statue of Brabant;Simge;;4.4;Cinquantenaire Parkı'nın girişindeki zafer takının üzerinde yer alan bu bronz heykel grubu, atlı arabasıyla (quadriga) Brabant dükalığını ve Belçika'nın bağımsızlığını simgeler. Parkın en görkemli anıtıdır.;
Bruksel;Statue of Everard t'Serclaes;Simge;Grand Place;4.5;Grand Place köşesindeki bu bronz heykel, 1388'de şehri kurtaran efsanevı kahramana adanmıştır. Koluna dokananın Brüksel'çe tekrar döneceğine inaçnılır - yüzyıllardır sürtülen kol parlayıp gidiyor!;
Bruksel;Stockel Metro Station;Sanat;;4.6;Hergé'nin bizzat taslağını çizdiği bu metro istasyonunda, 'Tenten'in Maceraları'ndan 140 farklı karakter 135 metre boyunca duvarları süsler. Dupont ve Dupond'dan Kaptan Haddock'a herkesi trenden inmeden görebilirsiniz.;
Bruksel;Tenbosch Park;Park;Ixelles;4.7;Ixelles bölgesinde duvarlarla çevrili bu gizli park, bir botanik bahçesi çeşitliliğine sahiptir. Nadir ağaç türleri, oyun alanları ve huzurlu banklarıyla mahalle sakinlerinin en sevdiği sırrıdır.;Hidden park like a botanical garden filled with rare trees and plants.
Bruksel;Thorgal Mural;Sanat;Merkez;4.6;Jean Van Hamme ve Grzegorz Rosinski'nin yarattığı Viking kahramanı Thorgal ve eşi Aaricia, Place Anneessens'de şehri tepeden izliyor. Fantastik ve duygusal bir İskandinav destanı.;
Bruksel;Tintin Comic Mural;Sanat;Merkez;4.6;Brüksel'in sokaklarını süsleyen 60'tan fazla çizgi roman duvar resminden en ünlüsü. Hergé'nin yarattığı Tenten ve Kaptan Haddock, yangın merdiveninden koşar adım inerken görülür. Çizgi roman yürüyüş turu için ideal başlangıç noktası.;The most famous of over 60 comic murals decorating Brussels' streets. Hergé's Tintin and Captain Haddock are seen running down the fire escape. An ideal starting point for the comic strip walking tour.
Bruksel;Tintin and Captain Haddock Mural;Sanat;Merkez;4.6;Stoöfstraat'taki çizgi roman rotasındaki en ikonik eserlerden biri. Hergé'nin yarattığı Tenten ve Kaptan Haddock, bir yangın merdiveninden hızla aşağı inerken resmedilmiş. Milou da çiziklerin arasında saklı!;
Bruksel;Train World;Müze;Schaerbeek;4.8;Tarihi Schaerbeek istasyonunda yer alan bu müze, Belçika demiryolu tarihinin hazinelerini barındırıyor. 1935'ten kalına aerodynamik lokomotifler, lüks vagonlar ve interaktif sergülerle tren tutkunları için cennet. Avrupa'nın en iyi ulaşım müzelerinden.;Located in historic Schaerbeek station, this museum houses treasures of Belgian railway history. A paradise for train enthusiasts with aerodynamic locomotives from 1935, luxury wagons, and interactive exhibits. One of Europe's best transport museums.
Bruksel;Tropismes;Alışveriş;;4.4;Galeries Royales Saint-Hubert içinde yer alan bu kitapçı, muhteşem aynalı tavanları ve sütunlarıyla dünyanın en güzellerinden biridir. Eskiden bir caz kulübü olan mekan, şimdi edebiyat tutkunlarının mabedi.;
Bruksel;Victor Sackville Mural;Sanat;Merkez;4.6;Birinci Dünya Savaşı döneminde geçen bu casusluk serisi, detaylı bir fresk olarak Rue du Marché aux Poulets'çe tasvir ediliyor. İngiliz casusun gerilim dolu maceraları bu devasa duvar resminde canlanıyor.;
Bruksel;Walvis;Bar;Dansaert;4.6;Dansaert bölgesinin kalbi sayılan bu köşe kafe, Brüksel Kanalı'na bakan güneşli terasıyla ünlüdür. Hipster atmosferi, rahat ortamı ve sabah kahvaltısından gece içkisine uzanan menüsüyle günün her saati canlı.;
Bruksel;Wolf Sharing Food Market;Restoran;Merkez;4.5;Görkemli eski Borsa binasının merkezınde yer alan bu modern yemek hali, dünya mutfağından 10'dan fazla stant barındırır. Meksika takosu, Japon ramenę, İtalyan pizza - hepsi aynı çatı altında. Arkadaş grupları için ideal.;
Bruksel;Woluwe Shopping Center;Alışveriş;;4.4;Brüksel'in doğusunda yer alan bu köklü alışveriş merkezi, cam tavanlı ferah mimarisi ve 130'dan fazla mağazasıyla konforlu bir alışveriş deneyimi sunar. Metro ile kolayca ulaşılabilir ve her ihtiyaca cevap verir.;
Bruksel;XIII Mural;Sanat;Merkez;4.6;Jean Van Hamme ve William Vance'in yarattığı XIII, hafızasını kaybetmiş gizemli bir ajanın ürlm dolu maceraslırıyla tanınır. Bu aksiyon sahnesi, gerilimi duvara taşıyor.;
Bruksel;Yi Chan;Restoran;Bourse;4.6;Modern Asya mimarisi ve loş ışıklarıyla Borsa binasının yakınında şık bir akşam yemeği alternatifi. Dim sum'ları ve Asya esintili kokteylleri (Yuzu Sour gibi) şehrin en iyileri arasındadır.;
Bruksel;Yoko Tsuno Mural;Sanat;Merkez;4.6;Roger Leloup'un yarattığı Japon kökenli elektronik mühendisi Yoko Tsuno, bilim kurgu maceralassıyla ünlüdür. Bu duvar resmi, güçlü kadın kahramann ve robotlarını sergiliyor.;
Bruksel;Zinneke Pis;Heykel;Dansaert;4.2;1998'de bir sanatçı tarafından yaratılan bu bronz köpek heykeli, Manneken Pis ailesinin üçüncü üyesidir. Rue des Chartreux ve Rue du Vieux Marché aux Grains kavşağında, bir sokak köşesinde beklerken gözden kaçabilir ama bulunduğunda gülümseten bir sürpriz.;Created by an artist in 1998, this bronze dog sculpture is the third member of the Manneken Pis family. Located at the corner of Rue des Chartreux and Rue du Vieux Marché aux Grains, it can be missed but brings a smile when found.
Bruksel;À La Mort Subite;Bar;Merkez;4.5;1910'dan beri değişmemiş ahşap masa ve sandalyeleri, aynaları ve pirinc aksanlarıyla zamanın durduğu bir Belle Époque brasseriesi. Kendi adını taşıyan 'Mort Subite' (Ani Ölüm) lambic birası burada üretilir. Jacques Brel'in de uğradığı efsanevi mekan.;A Belle Époque brasserie where time has stopped with unchanged wooden tables and chairs, mirrors and brass accents since 1910. Their namesake 'Mort Subite' (Sudden Death) lambic beer is produced here. A legendary spot also frequented by Jacques Brel.
Budapeste;360 Bar;Bar;Andrassy;4.5;Otantik lezzetlerin adresi 360 Bar, Andrassy bölgesinin en çok tercih edilen mekanlarından. Sıcak ambiyansı, özenli servisi ve zengin menüsüyle hem yerel halkın hem turistlerin vazgeçilmezi haline gelmiş.;The address of authentic flavors, 360 Bar is one of Andrassy's most preferred venues. With its warm ambiance, attentive service and rich menu, it has become indispensable for both locals and tourists.
Budapeste;9BAR;Bar;Budapest;4.8;Budapeşte'nin atmosferik barlarından biri. Özenle hazırlanmış kokteyller, samimi ortam ve yerel içki seçenekleriyle gece hayatının vazgeçilmez durağı.;Specialty coffee shop known for expertly crafted coffee, delicious pancakes and croissants. Cozy atmosphere with quirky memorabilia. Vegan options available.
Budapeste;9UP Rooftop Bar;Bar;Budapest;4.9;Budapeşte'nin atmosferik barlarından biri. Özenle hazırlanmış kokteyller, samimi ortam ve yerel içki seçenekleriyle gece hayatının vazgeçilmez durağı.;Hidden gem rooftop bar with stunning panoramic city views, especially at sunset. Industrial chic decor, creative cocktails and warm service.
Budapeste;A38 Hajó;Restoran;Tuna;4.8;Eski bir Ukrayna yük gemisinden dönüştürülmüş, nehir üzerinde demirli dünyaca ünlü bir konser ve etkinlik mekanı.;A world-renowned concert and event venue moored on the river, converted from an old Ukrainian cargo ship.
Budapeste;Akvarium Klub;Restoran;Deák Ferenc tér;4.5;Pest'in en merkezi meydanında, yer altında bulunan devasa bir eğlence kompleksi. Cam tavanlı havuzunun altından gökyüzünü izleyebilirsiniz.;A massive underground entertainment complex in Pest's most central square. You can watch the sky from beneath the glass-bottomed pool.
Budapeste;All Day Coffee;Cafe;Budapest;4.9;Özel kahve çeşitleri ve ev yapımı lezzetleriyle tanınan, rahat atmosferi ile dikkat çeken bir kafe.;Specialty coffee spot in Budapest's thriving third-wave coffee scene. Quality beans and careful brewing in a modern setting.
Budapeste;Andrássy Bulvarı;Deneyim;Pest;4.4;Şehrin şanzelizesi. Neo-Rönesans malikaneler, şık butikler ve Opera binası ile 2.5 km boyunca uzanan UNESCO mirası.;The city's Champs-Élysées. UNESCO heritage stretching 2.5 km with Neo-Renaissance mansions, chic boutiques, and the Opera.
Budapeste;Apricot Coffee;Cafe;Budapest;4.9;Özel kahve çeşitleri ve ev yapımı lezzetleriyle tanınan, rahat atmosferi ile dikkat çeken bir kafe.;Hidden gem coffee shop with exceptional espresso and latte art. Cozy atmosphere, friendly staff and delicious pastries. Vegan options available.
Budapeste;Aquincum Museum;Müze;Óbuda;4.4;Aquincum Museum, Budapeşte'nin zengin tarihine tanıklık eden muhteşem bir yapı. Óbuda bölgesindeki bu anıtsal mekan, yüzyılların izlerini taşıyan mimarisi, özgün detayları ve kültürel önemiyle hem tarih tutkunlarını hem mimari severlerini büyülüyor.;Aquincum Museum is a magnificent structure witnessing Budapeşte's rich history. This monumental venue in Óbuda enchants both history buffs and architecture lovers with its centuries-old architecture and cultural significance.
Budapeste;Arany Kaviár Étterem;Restoran;Budapest;4.8;Yerel ve uluslararası lezzetleri sunan, 4.8 puan ile ödüllendirilen popüler bir restoran. 499+ ziyaretçi tarafından değerlendirildi.;Luxury restaurant with Russian and French influences, offering nearly 20 varieties of caviar. Michelin-recommended since 2008.
Budapeste;Aranybástya;Restoran;Budapest;4.8;Yerel ve uluslararası lezzetleri sunan, 4.8 puan ile ödüllendirilen popüler bir restoran. 1655+ ziyaretçi tarafından değerlendirildi.;Restaurant in the historic Lónyay-Hatvany Villa within Buda Castle with panoramic views. Hungarian and international cuisine with local ingredients.
Budapeste;Artizán Bakery;Cafe;Budapest;4.8;Artisanal breads & pastries served in a laid-back cafe with understated decor & a cozy vibe.;Artisanal breads & pastries served in a laid-back cafe with understated decor & a cozy vibe.
